Age, Geschlecht, Average-Risk, Avg EquivClassSize, privacyModel1, privacyModel2
0, 0, 0.11940298507462686, 8, (0.5)-avg-reidentification-risk, 3-anonymity
0, 1, 0.11940298507462686, 8, (0.5)-avg-reidentification-risk, 3-anonymity
0, 0, 0.11940298507462686, 8, (0.5)-avg-reidentification-risk, 3-anonymity
0, 1, 0.11940298507462686, 8, (0.5)-avg-reidentification-risk, 3-anonymity
1, 0, 0.03319919517102616, 30, (0.5)-avg-reidentification-risk, 3-anonymity
1, 1, 0.03319919517102616, 30, (0.5)-avg-reidentification-risk, 3-anonymity
2, 0, 0.03319919517102616, 30, (0.5)-avg-reidentification-risk, 3-anonymity
2, 1, 0.03319919517102616, 30, (0.5)-avg-reidentification-risk, 3-anonymity
3, 0, 0.019019019019019017, 52, (0.5)-avg-reidentification-risk, 3-anonymity
3, 1, 0.019019019019019017, 52, (0.5)-avg-reidentification-risk, 3-anonymity
4, 0, 0.011011011011011011, 90, (0.5)-avg-reidentification-risk, 3-anonymity
4, 1, 0.011011011011011011, 90, (0.5)-avg-reidentification-risk, 3-anonymity

Age, Average-Risk, Avg EquivClassSize, privacyModel1, privacyModel2
0, 0.07222787385554424, 13, (0.5)-avg-reidentification-risk, 3-anonymity
1, 0.07222787385554424, 13, (0.5)-avg-reidentification-risk, 3-anonymity
2, 0.018018018018018018, 55, (0.5)-avg-reidentification-risk, 3-anonymity
3, 0.01, 100, (0.5)-avg-reidentification-risk, 3-anonymity
4, 0.006, 166, (0.5)-avg-reidentification-risk, 3-anonymity

0, 0.07222787385554424, 13, (0.5)-avg-reidentification-risk, 3-anonymity
1, 0.018018018018018018, 55, (0.5)-avg-reidentification-risk, 3-anonymity
2, 0.01, 100, (0.5)-avg-reidentification-risk, 3-anonymity
3, 0.006, 166, (0.5)-avg-reidentification-risk, 3-anonymity
4, 0.0, 0, (0.5)-avg-reidentification-risk, 3-anonymity

0, 0.07222787385554424, 13, (0.5)-avg-reidentification-risk, 3-anonymity
1, 0.07222787385554424, 13, (0.5)-avg-reidentification-risk, 3-anonymity
2, 0.07222787385554424, 13, (0.5)-avg-reidentification-risk, 3-anonymity
3, 0.07222787385554424, 13, (0.5)-avg-reidentification-risk, 3-anonymity
4, 0.07222787385554424, 13, (0.5)-avg-reidentification-risk, 3-anonymity

0, 0.07222787385554424, 13, (0.5)-avg-reidentification-risk, 3-anonymity
1, 0.018018018018018018, 55, (0.5)-avg-reidentification-risk, 3-anonymity
2, 0.01, 100, (0.5)-avg-reidentification-risk, 3-anonymity
3, 0.006, 166, (0.5)-avg-reidentification-risk, 3-anonymity
4, 0.0, 0, (0.5)-avg-reidentification-risk, 3-anonymity

Inzidenzort, Average-Risk, Avg EquivClassSize, privacyModel1, privacyModel2

0, 0.041999999999999996, 23, (0.5)-avg-reidentification-risk, 3-anonymity
1, 0.041999999999999996, 23, (0.5)-avg-reidentification-risk, 3-anonymity
2, 0.041999999999999996, 23, (0.5)-avg-reidentification-risk, 3-anonymity
3, 0.031, 32, (0.5)-avg-reidentification-risk, 3-anonymity
4, 0.008, 125, (0.5)-avg-reidentification-risk, 3-anonymity
5, 0.001, 1000, (0.5)-avg-reidentification-risk, 3-anonymity

Inzidenzort, Average-Risk, Avg EquivClassSize, featureChange
0, 0.041999999999999996, 23, RadicallyReducedCSV
1, 0.041999999999999996, 23, RadicallyReducedCSV
2, 0.041999999999999996, 23, RadicallyReducedCSV
3, 0.031, 32, RadicallyReducedCSV
4, 0.008, 125, RadicallyReducedCSV
5, 0.001, 1000, RadicallyReducedCSV

Age, Geschlecht, Inzidenzort, Average-Risk, Avg EquivClassSize, featureChange

0, 0, 0, 0.09578947368421052, 10, all three qi's
0, 0, 1, 0.09578947368421052, 10, all three qi's
0, 0, 2, 0.09578947368421052, 10, all three qi's
0, 0, 3, 0.09578947368421052, 10, all three qi's
0, 0, 4, 0.09578947368421052, 10, all three qi's
0, 0, 5, 0.03319919517102616, 30, all three qi's
0, 1, 0, 0.10805084745762711, 9, all three qi's
0, 1, 1, 0.10805084745762711, 9, all three qi's
0, 1, 2, 0.10805084745762711, 9, all three qi's
0, 1, 3, 0.10805084745762711, 9, all three qi's
0, 1, 4, 0.0581039755351682, 17, all three qi's
0, 1, 5, 0.07222787385554424, 13, all three qi's
1, 0, 0, 0.09578947368421052, 10, all three qi's
1, 0, 1, 0.09578947368421052, 10, all three qi's
1, 0, 2, 0.09578947368421052, 10, all three qi's
1, 0, 3, 0.09578947368421052, 10, all three qi's
1, 0, 4, 0.09578947368421052, 10, all three qi's
1, 0, 5, 0.03319919517102616, 30, all three qi's
1, 1, 0, 0.10805084745762711, 9, all three qi's
1, 1, 1, 0.10805084745762711, 9, all three qi's
1, 1, 2, 0.10805084745762711, 9, all three qi's
1, 1, 3, 0.10805084745762711, 9, all three qi's
1, 1, 4, 0.0581039755351682, 17, all three qi's
1, 1, 5, 0.018018018018018018, 55, all three qi's
2, 0, 0, 0.09578947368421052, 10, all three qi's
2, 0, 1, 0.09578947368421052, 10, all three qi's
2, 0, 2, 0.09578947368421052, 10, all three qi's
