Time-Stamp, Data-Prefix, Data-Size, Feature-Changes, Information loss, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords, privacyModel1, privacyModel2, Age, Geschlecht, Inzidenzort, Diagnose_ICD10_Code, Geburtsdatum, Diagnosedatum

2023-11-23 10:37:45.926, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 0, -1, -1, -1
2023-11-23 10:37:45.998, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 1, -1, -1, -1
2023-11-23 10:37:46.066, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 2, -1, -1, -1
2023-11-23 10:37:46.126, zfkd_, 1000, significant feature change, 0.1430071317275976, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 3, -1, -1, -1
2023-11-23 10:37:46.163, zfkd_, 1000, significant feature change, 0.14577910433933727, 0.0581039755351682, 0.012658227848101266, 0.3333333333333333, 17, 79, 57, 1000, 19, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 4, -1, -1, -1
2023-11-23 10:37:46.207, zfkd_, 1000, significant feature change, 0.4261837188104485, 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 5, -1, -1, -1
2023-11-23 10:37:46.248, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 0, -1, -1, -1
2023-11-23 10:37:46.273, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 1, -1, -1, -1
2023-11-23 10:37:46.316, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 2, -1, -1, -1
2023-11-23 10:37:46.394, zfkd_, 1000, significant feature change, 0.1430071317275976, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 3, -1, -1, -1
2023-11-23 10:37:46.43, zfkd_, 1000, significant feature change, 0.14577910433933727, 0.0581039755351682, 0.012658227848101266, 0.3333333333333333, 17, 79, 57, 1000, 19, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 4, -1, -1, -1
2023-11-23 10:37:46.49, zfkd_, 1000, significant feature change, 0.4261837188104485, 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 5, -1, -1, -1
2023-11-23 10:37:46.547, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 0, -1, -1, -1
2023-11-23 10:37:46.618, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 1, -1, -1, -1
2023-11-23 10:37:46.694, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 2, -1, -1, -1
2023-11-23 10:37:46.755, zfkd_, 1000, significant feature change, 0.1430071317275976, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 3, -1, -1, -1
2023-11-23 10:37:46.791, zfkd_, 1000, significant feature change, 0.14577910433933727, 0.0581039755351682, 0.012658227848101266, 0.3333333333333333, 17, 79, 57, 1000, 19, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 4, -1, -1, -1
2023-11-23 10:37:46.86, zfkd_, 1000, significant feature change, 0.4261837188104485, 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 5, -1, -1, -1
2023-11-23 10:37:46.997, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 0, -1, -1, -1
2023-11-23 10:37:47.044, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 1, -1, -1, -1
2023-11-23 10:37:47.306, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 2, -1, -1, -1
2023-11-23 10:37:47.339, zfkd_, 1000, significant feature change, 0.1430071317275976, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 3, -1, -1, -1
2023-11-23 10:37:47.438, zfkd_, 1000, significant feature change, 0.14577910433933727, 0.0581039755351682, 0.012658227848101266, 0.3333333333333333, 17, 79, 57, 1000, 19, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 4, -1, -1, -1
2023-11-23 10:37:47.459, zfkd_, 1000, significant feature change, 0.4261837188104485, 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 5, -1, -1, -1
2023-11-23 10:37:47.475, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 0, -1, -1, -1
2023-11-23 10:37:47.501, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 1, -1, -1, -1
2023-11-23 10:37:47.609, zfkd_, 1000, significant feature change, 0.16661904664204763, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 2, -1, -1, -1
2023-11-23 10:37:47.658, zfkd_, 1000, significant feature change, 0.1430071317275976, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 3, -1, -1, -1
2023-11-23 10:37:47.701, zfkd_, 1000, significant feature change, 0.14577910433933727, 0.0581039755351682, 0.012658227848101266, 0.3333333333333333, 17, 79, 57, 1000, 19, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 4, -1, -1, -1
2023-11-23 10:37:47.751, zfkd_, 1000, significant feature change, 0.4261837188104485, 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity, 4, -1, 5, -1, -1, -1
2023-11-23 10:48:21.815, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 0, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:21.972, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 1, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:22.041, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 2, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:22.206, zfkd_, 1000, No Minimum Generalization, 0.1430071317275976, 4, -1, 3, -1, -1, -1, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:22.321, zfkd_, 1000, No Minimum Generalization, 0.1430071317275976, 4, -1, 4, -1, -1, -1, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:22.356, zfkd_, 1000, No Minimum Generalization, 0.1430071317275976, 4, -1, 5, -1, -1, -1, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:22.46, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 0, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:22.489, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 1, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:22.82, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 2, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:22.863, zfkd_, 1000, No Minimum Generalization, 0.1430071317275976, 4, -1, 3, -1, -1, -1, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:22.954, zfkd_, 1000, No Minimum Generalization, 0.1430071317275976, 4, -1, 4, -1, -1, -1, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:23.04, zfkd_, 1000, No Minimum Generalization, 0.1430071317275976, 4, -1, 5, -1, -1, -1, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:23.226, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 0, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:23.522, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 1, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:23.618, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 2, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:23.71, zfkd_, 1000, No Minimum Generalization, 0.1430071317275976, 4, -1, 3, -1, -1, -1, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:23.779, zfkd_, 1000, No Minimum Generalization, 0.1430071317275976, 4, -1, 4, -1, -1, -1, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:23.878, zfkd_, 1000, No Minimum Generalization, 0.1430071317275976, 4, -1, 5, -1, -1, -1, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:23.96, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 0, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:24.061, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 1, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:24.129, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 2, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:24.212, zfkd_, 1000, No Minimum Generalization, 0.1430071317275976, 4, -1, 3, -1, -1, -1, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:24.263, zfkd_, 1000, No Minimum Generalization, 0.1430071317275976, 4, -1, 4, -1, -1, -1, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:24.288, zfkd_, 1000, No Minimum Generalization, 0.1430071317275976, 4, -1, 5, -1, -1, -1, 0.10805084745762711, 0.030303030303030304, 0.3333333333333333, 9, 33, 102, 1000, 56, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:24.327, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 0, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 10:48:24.381, zfkd_, 1000, No Minimum Generalization, 0.16661904664204763, 4, -1, 1, -1, -1, -1, 0.13406593406593406, 0.045454545454545456, 0.3333333333333333, 7, 22, 122, 1000, 90, (0.5)-avg-reidentification-risk, 3-anonymity
