Time-Stamp, Data-Prefix, Data-Size, Feature-Changes, Information loss, Age, Geschlecht, Inzidenzort, Diagnose_ICD10_Code, Geburtsdatum, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords, privacyModel1, privacyModel2
2023-11-23 11:28:09.041, zfkd_, 10, all data sizes, 1.0, 0, 0, 0, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.071, zfkd_, 10, all data sizes, 1.0, 0, 0, 1, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.092, zfkd_, 10, all data sizes, 1.0, 0, 0, 2, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.129, zfkd_, 10, all data sizes, 1.0, 0, 0, 3, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.19, zfkd_, 10, all data sizes, 1.0, 0, 0, 4, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.223, zfkd_, 10, all data sizes, 1.0, 0, 0, 5, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.236, zfkd_, 10, all data sizes, 1.0, 0, 1, 0, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.264, zfkd_, 10, all data sizes, 1.0, 0, 1, 1, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.294, zfkd_, 10, all data sizes, 1.0, 0, 1, 2, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.314, zfkd_, 10, all data sizes, 1.0, 0, 1, 3, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.381, zfkd_, 10, all data sizes, 1.0, 0, 1, 4, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.447, zfkd_, 10, all data sizes, 1.0, 0, 1, 5, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.467, zfkd_, 10, all data sizes, 1.0, 1, 0, 0, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.502, zfkd_, 10, all data sizes, 1.0, 1, 0, 1, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.596, zfkd_, 10, all data sizes, 1.0, 1, 0, 2, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.623, zfkd_, 10, all data sizes, 1.0, 1, 0, 3, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.659, zfkd_, 10, all data sizes, 1.0, 1, 0, 4, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.689, zfkd_, 10, all data sizes, 1.0, 1, 0, 5, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.762, zfkd_, 10, all data sizes, 1.0, 1, 1, 0, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.79, zfkd_, 10, all data sizes, 1.0, 1, 1, 1, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.815, zfkd_, 10, all data sizes, 1.0, 1, 1, 2, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.863, zfkd_, 10, all data sizes, 1.0, 1, 1, 3, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.891, zfkd_, 10, all data sizes, 1.0, 1, 1, 4, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.916, zfkd_, 10, all data sizes, 1.0, 1, 1, 5, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:09.938, zfkd_, 10, all data sizes, 1.0, 2, 0, 0, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:10.18, zfkd_, 10, all data sizes, 1.0, 2, 0, 1, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:10.235, zfkd_, 10, all data sizes, 1.0, 2, 0, 2, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:10.252, zfkd_, 10, all data sizes, 1.0, 2, 0, 3, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:10.277, zfkd_, 10, all data sizes, 1.0, 2, 0, 4, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:10.328, zfkd_, 10, all data sizes, 0.8033087478467036, 2, 0, 5, -1, -1, -1, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 3, 3, 1, 10, 7, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:10.461, zfkd_, 10, all data sizes, 1.0, 2, 1, 0, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:10.538, zfkd_, 10, all data sizes, 1.0, 2, 1, 1, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:10.576, zfkd_, 10, all data sizes, 1.0, 2, 1, 2, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:10.686, zfkd_, 10, all data sizes, 1.0, 2, 1, 3, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-23 11:28:10.729, zfkd_, 10, all data sizes, 1.0, 2, 1, 4, -1, -1, -1, 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
