Age, Geschlecht, Inzidenzort, Average-Risk, Avg EquivClassSize, informationLoss, dataSize, featureChange
0, 0, 0, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
0, 0, 1, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
0, 0, 2, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
0, 0, 3, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
0, 0, 4, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
0, 0, 5, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
0, 1, 0, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
0, 1, 1, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
0, 1, 2, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
0, 1, 3, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
0, 1, 4, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
0, 1, 5, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
1, 0, 0, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
1, 0, 1, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
1, 0, 2, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
1, 0, 3, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
1, 0, 4, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
1, 0, 5, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
1, 1, 0, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
1, 1, 1, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
1, 1, 2, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
1, 1, 3, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
1, 1, 4, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
1, 1, 5, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
2, 0, 0, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
2, 0, 1, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
2, 0, 2, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
2, 0, 3, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
2, 0, 4, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
2, 0, 5, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
2, 1, 0, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
2, 1, 1, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
2, 1, 2, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
2, 1, 3, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
2, 1, 4, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
2, 1, 5, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
3, 0, 0, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
3, 0, 1, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
3, 0, 2, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
3, 0, 3, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
3, 0, 4, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
3, 0, 5, 0.2857142857142857, 3, 0.5462967724248309, 10, avgReidentRisk to 1d
3, 1, 0, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
3, 1, 1, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
3, 1, 2, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
3, 1, 3, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
3, 1, 4, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
3, 1, 5, 0.3, 3, 0.6747416494867373, 10, avgReidentRisk to 1d
4, 0, 0, 0.125, 8, 0.6868653305566412, 10, avgReidentRisk to 1d
4, 0, 1, 0.125, 8, 0.6868653305566412, 10, avgReidentRisk to 1d
4, 0, 2, 0.125, 8, 0.6868653305566412, 10, avgReidentRisk to 1d
4, 0, 3, 0.125, 8, 0.6868653305566412, 10, avgReidentRisk to 1d
4, 0, 4, 0.125, 8, 0.6868653305566412, 10, avgReidentRisk to 1d
4, 0, 5, 0.125, 8, 0.6868653305566412, 10, avgReidentRisk to 1d
4, 1, 0, 0.2, 5, 0.9027558244534368, 10, avgReidentRisk to 1d
4, 1, 1, 0.2, 5, 0.9027558244534368, 10, avgReidentRisk to 1d
4, 1, 2, 0.2, 5, 0.9027558244534368, 10, avgReidentRisk to 1d
4, 1, 3, 0.2, 5, 0.9027558244534368, 10, avgReidentRisk to 1d
4, 1, 4, 0.2, 5, 0.9027558244534368, 10, avgReidentRisk to 1d
4, 1, 5, 0.1, 10, 1.0, 10, avgReidentRisk to 1d
0, 0, 0, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
0, 0, 1, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
0, 0, 2, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
0, 0, 3, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
0, 0, 4, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
0, 0, 5, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
0, 1, 0, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
0, 1, 1, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
0, 1, 2, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
0, 1, 3, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
0, 1, 4, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
0, 1, 5, 0.13541666666666666, 7, 0.6262489718897521, 100, avgReidentRisk to 1d
1, 0, 0, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
1, 0, 1, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
1, 0, 2, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
1, 0, 3, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
1, 0, 4, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
1, 0, 5, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
1, 1, 0, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
1, 1, 1, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
1, 1, 2, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
1, 1, 3, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
1, 1, 4, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
1, 1, 5, 0.13541666666666666, 7, 0.6262489718897521, 100, avgReidentRisk to 1d
2, 0, 0, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
2, 0, 1, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
2, 0, 2, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
2, 0, 3, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
2, 0, 4, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
2, 0, 5, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
2, 1, 0, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
2, 1, 1, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
2, 1, 2, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
2, 1, 3, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
2, 1, 4, 0.15584415584415584, 6, 0.5573983986095568, 100, avgReidentRisk to 1d
2, 1, 5, 0.09, 11, 0.6299408097241332, 100, avgReidentRisk to 1d
3, 0, 0, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
3, 0, 1, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
3, 0, 2, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
3, 0, 3, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
3, 0, 4, 0.09183673469387754, 10, 0.3442894407007848, 100, avgReidentRisk to 1d
