Time-Stamp, Data-Prefix, Data-Size, Information loss, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords
2023-11-17 15:04:36.208, zfkd_, 1000, 0.0, -1, -1, 0, -1, -1, -1, 0,0420, 0,0263, 0,0714, 23, 38, 42, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-17 15:04:36.286, zfkd_, 1000, 0.0, -1, -1, 1, -1, -1, -1, 0,0420, 0,0263, 0,0714, 23, 38, 42, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-17 15:04:36.304, zfkd_, 1000, 0.0, -1, -1, 2, -1, -1, -1, 0,0420, 0,0263, 0,0714, 23, 38, 42, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-17 15:04:36.385, zfkd_, 1000, 0.014536585299999905, -1, -1, 3, -1, -1, -1, 0,0310, 0,0122, 0,0625, 32, 82, 31, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-17 15:04:36.409, zfkd_, 1000, 0.17521951209999997, -1, -1, 4, -1, -1, -1, 0,0080, 0,0033, 0,0385, 125, 307, 8, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-17 15:04:36.428, zfkd_, 1000, 1.0, -1, -1, 5, -1, -1, -1, 0,0010, 0,0010, 0,0010, 1000, 1000, 1, 1000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.258, zfkd_, 10, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.284, zfkd_, 10, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.352, zfkd_, 10, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.43, zfkd_, 10, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0, 0.0, 0.0, 0, 0, 0, 10, 10, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.457, zfkd_, 10, 0.7222222222000001, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.2, 0.2, 0.2, 5, 5, 1, 10, 5, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.552, zfkd_, 10, 1.0, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.1, 0.1, 0.1, 10, 10, 1, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.688, zfkd_, 100, 0.24, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.713, zfkd_, 100, 0.24, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.753, zfkd_, 100, 0.24, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.2631578947368421, 0.2, 0.3333333333333333, 3, 5, 20, 100, 24, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.764, zfkd_, 100, 0.19657894729999992, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.20731707317073172, 0.1, 0.3333333333333333, 4, 10, 17, 100, 18, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:48:33.781, zfkd_, 100, 0.1852631577999999, [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], [Inzidenzort], 0.0707070707070707, 0.03333333333333333, 0.3333333333333333, 14, 30, 7, 100, 1, (0.5)-avg-reidentification-risk, 3-anonymity
